,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,0,0,1,1,1,0,0,1
1,0,0,0,0,0,1,0,1
2,0,0,1,1,1,0,0,1
3,1,1,1,1,0,1,0,1
4,0,1,1,1,1,1,1,0
5,0,0,1,0,1,0,0,1
6,1,0,1,1,0,1,0,1
7,1,1,1,1,0,0,1,0
8,0,1,1,1,1,1,1,0
9,0,0,0,1,1,0,0,0
10,0,0,1,0,1,1,1,0
11,0,0,0,1,1,1,0,1
12,0,0,1,0,0,0,1,0
13,1,0,0,0,0,1,1,1
14,0,0,0,1,1,1,1,0
15,0,1,0,0,1,1,0,1
16,1,0,0,0,1,0,1,1
17,0,0,0,0,1,1,0,0
18,1,0,0,0,0,0,0,0
19,1,0,1,0,0,0,0,0
