,false belief (F),false belief (T),no transfer (F),no transfer (T),informed protagonist (F),informed protagonist (T),present protagonist (F),present protagonist (T)
0,0,0,0,0,0,1,1,0
1,0,0,1,1,1,0,0,0
2,1,1,0,0,1,0,1,0
3,0,0,0,1,0,1,0,1
4,0,0,0,0,0,0,0,0
5,0,0,1,1,1,1,0,0
6,0,0,0,0,1,0,0,0
7,0,0,0,0,1,1,0,0
8,1,0,0,1,0,0,0,0
9,0,0,1,0,1,1,0,1
10,0,0,0,0,1,0,0,0
11,0,1,1,1,0,0,0,0
12,0,0,0,1,1,1,1,1
13,0,0,1,1,1,1,0,1
14,1,0,1,0,0,1,0,0
15,1,0,1,0,0,0,1,1
16,0,0,0,0,1,1,0,1
17,0,0,0,0,0,0,0,0
18,0,0,0,1,0,1,0,1
19,0,0,0,0,1,0,0,1
