,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,0,0,0,1,0,1,1,0
1,0,1,1,0,1,1,0,0
2,0,0,0,0,1,1,0,0
3,0,0,1,1,1,0,1,0
4,1,1,0,1,0,0,0,0
5,0,0,1,0,1,0,1,0
6,0,0,1,1,1,1,0,1
7,0,0,0,1,1,0,0,1
8,0,0,0,0,0,0,0,1
9,0,0,1,0,0,1,0,0
10,0,0,0,1,1,1,1,1
11,0,0,0,1,1,0,0,0
12,1,1,0,1,1,1,1,1
13,0,0,0,0,0,1,0,0
14,0,0,1,0,1,0,1,0
15,1,0,1,1,0,1,0,1
16,0,0,0,0,1,0,1,0
17,0,0,0,0,1,0,0,1
18,1,0,1,0,0,1,1,0
19,0,0,0,0,1,0,0,0
