,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,0,0,0,0,1,0,0,1
1,1,1,1,0,0,1,1,0
2,0,0,1,0,1,1,0,0
3,0,0,0,0,0,0,1,0
4,0,0,1,1,1,0,1,1
5,0,0,0,0,1,0,0,0
6,0,0,0,1,1,1,1,1
7,0,0,1,1,1,0,0,1
8,0,0,0,0,0,0,1,0
9,0,1,0,0,1,1,1,0
10,0,0,0,0,1,1,0,0
11,1,1,0,0,1,0,0,1
12,0,0,1,0,1,0,0,0
13,0,0,0,0,1,1,1,1
14,0,0,1,1,1,1,1,1
15,0,0,0,0,1,0,0,1
16,0,0,0,0,1,0,0,1
17,0,0,1,0,1,1,0,0
18,0,0,0,0,0,0,0,0
19,0,1,1,1,0,0,1,0
